Owned Facility Inventory Report,,,,,,,,,,,,
,,,,,,,,,,,,
Report Filter:,,,,,,,,,,,,
(Ownership = Owned) And ({Property Status} = Active) And (ST = TX) And ({Building Ownership Description} <> Building Data on another record,,,,,,,,,,,,
,,,,,,,,,,,,
District,PO Name,Unit Name,Property Address,County,City,ST,ZIP Code,Ownership,FDB Facility Type (All),FDB Facility Subtype (All),Bldg Occu Date,Int Sq Ft
TEXAS 1,MARSHALL,MAIN OFFICE,202 E TRAVIS ST,HARRISON,MARSHALL,TX,75670-9998,Owned,Post Office,Administrative Post Office (APO),1/1/1961,"17,090"
TEXAS 1,MART,MAIN OFFICE,301 E TEXAS AVE,MCLENNAN,MART,TX,76664-9998,Owned,Post Office,Administrative Post Office (APO),6/1/1937,"5,937"
TEXAS 1,MAYDELLE,MPO/MODULAR BLDG,156 COUNTY ROAD 1801,CHEROKEE,MAYDELLE,TX,75772-9998,Owned,Post Office,Remotely Managed Post Office (RMPO),,768
TEXAS 3,MCADOO,MAIN OFFICE,104 S MAIN ST,DICKENS,MCADOO,TX,79243-9998,Owned,Post Office,Remotely Managed Post Office (RMPO),,418
TEXAS 2,MCALLEN,AUXILIARY VMF,620 E PECAN BLVD,HIDALGO,MCALLEN,TX,78501-9991,Owned,Vehicle Maintenance,Vehicle Maintenance Facility (VMF),4/1/1988,"5,797"
TEXAS 2,MCALLEN,Main Office,620 E PECAN BLVD,HIDALGO,MCALLEN,TX,78501-9998,Owned,Post Office,Main Post Office,4/1/1988,"24,000"
TEXAS 2,MCALLEN,Main Office,620 E PECAN BLVD,HIDALGO,MCALLEN,TX,78501-9998,Owned,Network Facilities,Logistics (LOG),4/1/1988,"24,000"
TEXAS 2,MCALLEN,NEW DOWNTOWN STA,406 S 12TH ST,HIDALGO,MCALLEN,TX,78501-4977,Owned,Post Office,Finance Station,9/2/2009,"4,066"
TEXAS 2,MCALLEN,P&DC,620 E PECAN BLVD,HIDALGO,MCALLEN,TX,78501-9992,Owned,Mail Processing,Processing and Distribution Center/Facility (PDC/PDF),12/1/1975,"78,922"
TEXAS 3,MCCAULLEY,MPO/MODULAR BLDG,1238 COUNTY ROAD 764,FISHER,MC CAULLEY,TX,79534-9998,Owned,Post Office,Remotely Managed Post Office (RMPO),8/1/1995,"1,472"
TEXAS 2,MCFADDIN,MPO/MODULAR BLDG,2207 FM 445,VICTORIA,MCFADDIN,TX,77973-9800,Owned,Post Office,Remotely Managed Post Office (RMPO),11/1/1995,701
TEXAS 1,MCKINNEY,MAIN OFFICE,550 N CENTRAL EXPY,COLLIN,MCKINNEY,TX,75070-9998,Owned,Post Office,Main Post Office,3/1/1992,"38,124"
TEXAS 3,MEMPHIS,MAIN OFFICE,700 W MAIN ST,HALL,MEMPHIS,TX,79245-9998,Owned,Post Office,Administrative Post Office (APO),6/1/1932,"9,391"
TEXAS 2,MERCEDES,MAIN OFFICE,307 STARR ST,HIDALGO,MERCEDES,TX,78570-9998,Owned,Post Office,Main Post Office,2/1/1977,"6,306"
TEXAS 3,MERETA,MAIN OFFICE MODULAR,997 BROADWAY ST,TOM GREEN,MERETA,TX,76940-9803,Owned,Post Office,Remotely Managed Post Office (RMPO),11/1/1994,736
TEXAS 1,MERIT,MO/MODULAR BLDG,2584 FM 36 N,HUNT,MERIT,TX,75458-9998,Owned,Post Office,Remotely Managed Post Office (RMPO),10/1/1994,736
TEXAS 1,MEXIA,MAIN OFFICE,100 N MCKINNEY ST,LIMESTONE,MEXIA,TX,76667-9998,Owned,Post Office,Administrative Post Office (APO),6/1/1931,"11,291"
TEXAS 3,MIDLAND,CLAY DESTA STATION,612 VETERANS AIRPARK LN,MIDLAND,MIDLAND,TX,79705-9998,Owned,Post Office,Station,10/1/1987,"28,030"
TEXAS 3,MIDLAND,GRAVES STATION,3304 W WADLEY AVE,MIDLAND,MIDLAND,TX,79707-9998,Owned,Post Office,Finance Station,,"7,218"
TEXAS 3,MIDLAND,P&DC,10000 LOOP 40,MIDLAND,MIDLAND,TX,79711-9998,Owned,Post Office,Finance Station,12/1/1988,"124,152"
TEXAS 3,MIDLAND,P&DC,10000 LOOP 40,MIDLAND,MIDLAND,TX,79711-9998,Owned,Post Office,Main Post Office,12/1/1988,"124,152"
TEXAS 3,MIDLAND,P&DC,10000 LOOP 40,MIDLAND,MIDLAND,TX,79711-9998,Owned,Mail Processing,Processing and Distribution Center/Facility (PDC/PDF),12/1/1988,"124,152"
TEXAS 3,MIDLAND,P&DC,10000 LOOP 40,MIDLAND,MIDLAND,TX,79711-9998,Owned,Network Facilities,Logistics (LOG),12/1/1988,"124,152"
TEXAS 3,MILLERSVIEW,MPO/MODULAR BLDG,8090 FM 765 E,CONCHO,MILLERSVIEW,TX,76862-9998,Owned,Post Office,Remotely Managed Post Office (RMPO),12/1/1995,598
TEXAS 2,MISSION,MAIN OFFICE,901 N FRANCISCO AVE,HIDALGO,MISSION,TX,78572-9998,Owned,Post Office,Main Post Office,7/1/2002,"30,316"
TEXAS 2,MISSOURI CITY,CARRIER ANNEX,3701 GLENN LAKES LN,FORT BEND,MISSOURI CITY,TX,77459-9998,Owned,Post Office,Carrier Annex (ANX),3/28/2005,"17,131"
TEXAS 2,MISSOURI CITY,MAIN OFFICE,1902 TEXAS PKWY,FORT BEND,MISSOURI CITY,TX,77489-9998,Owned,Post Office,Main Post Office,12/1/1976,"13,958"
TEXAS 3,MONAHANS,MAIN OFFICE,201 S BETTY AVE,WARD,MONAHANS,TX,79756-9998,Owned,Post Office,Administrative Post Office (APO),3/1/1985,"7,333"
TEXAS 1,MONTALBA,MAIN OFFICE,200 E FM 321,ANDERSON,MONTALBA,TX,75853-9998,Owned,Post Office,Remotely Managed Post Office (RMPO),1/1/1970,864
TEXAS 2,MONTGOMERY,Carrier Annex,21359 EVA ST,MONTGOMERY,MONTGOMERY,TX,77356-9997,Owned,Post Office,Carrier Annex (ANX),12/1/1985,"11,060"
TEXAS 1,MYRA,MPO/MODULAR BLDG,206 BRADFORD ST,COOKE,MYRA,TX,76253-9998,Owned,,,12/1/1996,736
TEXAS 1,NACOGDOCHES,MAIN OFFICE,3007 N UNIVERSITY DR,NACOGDOCHES,NACOGDOCHES,TX,75965-9998,Owned,Post Office,Administrative Post Office (APO),4/1/1988,"25,499"
TEXAS 1,NAPLES,MAIN OFFICE,203 MAIN ST,MORRIS,NAPLES,TX,75568-9998,Owned,Post Office,Administrative Post Office (APO),6/1/1966,"5,500"
TEXAS 2,NAVASOTA,MAIN OFFICE,115 FARQUHAR ST,GRIMES,NAVASOTA,TX,77868-9998,Owned,Post Office,Administrative Post Office (APO),6/1/1917,"7,097"
TEXAS 1,NEMO,MAIN OFFICE,1015 County Rd 407,SOMERVELL,NEMO,TX,76070-9998,Owned,Post Office,Remotely Managed Post Office (RMPO),3/2/2018,480
TEXAS 2,NEW BADEN,MPO/MODULAR BLDG,199 FM 1940,ROBERTSON,NEW BADEN,TX,77870-4102,Owned,Post Office,Remotely Managed Post Office (RMPO),8/1/1996,796
TEXAS 3,NEW BRAUNFELS,MAIN OFFICE,686 S SEGUIN AVE,COMAL,NEW BRAUNFELS,TX,78130-9998,Owned,Post Office,Carrier Annex (ANX),11/1/1986,"20,981"
TEXAS 2,NEW CANEY,MAIN OFFICE,20811 US HIGHWAY 59,MONTGOMERY,NEW CANEY,TX,77357-9998,Owned,Post Office,Main Post Office,1/1/1980,"4,440"
TEXAS 1,NOCONA,MAIN OFFICE,400 CLAY ST,MONTAGUE,NOCONA,TX,76255-9998,Owned,Post Office,Administrative Post Office (APO),6/1/1936,"6,501"
TEXAS 1,NORTH TEXAS,P&DC,951 W BETHEL RD,DALLAS,COPPELL,TX,75099-5000,Owned,Administrative Office,District Administrative Office (DM),10/1/1990,"629,249"
TEXAS 1,NORTH TEXAS,P&DC,951 W BETHEL RD,DALLAS,COPPELL,TX,75099-5000,Owned,Mail Processing,Processing and Distribution Center/Facility (PDC/PDF),10/1/1990,"629,249"
TEXAS 1,NORTH TEXAS,P&DC,951 W BETHEL RD,DALLAS,COPPELL,TX,75099-5000,Owned,Administrative Office,Consumer Affairs Office,10/1/1990,"629,249"
TEXAS 1,NORTH TEXAS,P&DC,951 W BETHEL RD,DALLAS,COPPELL,TX,75099-5000,Owned,Administrative Office,Office of the Inspector General Office (OIG),10/1/1990,"629,249"
TEXAS 1,NORTH TEXAS,P&DC,951 W BETHEL RD,DALLAS,COPPELL,TX,75099-5000,Owned,Network Facilities,Logistics (LOG),10/1/1990,"629,249"
TEXAS 1,NORTH TEXAS,P&DC,951 W BETHEL RD,DALLAS,COPPELL,TX,75099-5000,Owned,Administrative Office,Division Administrative Office (Processing),10/1/1990,"629,249"
TEXAS 1,NORTH TEXAS,P&DC,951 W BETHEL RD,DALLAS,COPPELL,TX,75099-5000,Owned,Administrative Office,Division Administrative Office (Logistics),10/1/1990,"629,249"
TEXAS 1,NORTH TEXAS,P&DC,951 W BETHEL RD,DALLAS,COPPELL,TX,75099-5000,Owned,Administrative Office,Consumer Affairs Headquarters,10/1/1990,"629,249"
TEXAS 1,NORTH TEXAS,VMF,951 W BETHEL RD,DALLAS,COPPELL,TX,75099-9301,Owned,Vehicle Maintenance,Vehicle Maintenance Facility (VMF),1/1/1991,"19,279"
TEXAS 3,NOVICE,MPO/MODULAR BLDG,700 PARKER ST,COLEMAN,NOVICE,TX,79538-9704,Owned,Post Office,Remotely Managed Post Office (RMPO),8/1/1995,"1,472"
TEXAS 3,ODESSA,NORTHEAST STATION,4551 E 52ND ST,ECTOR,ODESSA,TX,79762-9998,Owned,Post Office,Station,1/1/1987,"27,598"
TEXAS 3,OLD GLORY,MPO/MODULAR BLDG,9080 FM 1835,STONEWALL,OLD GLORY,TX,79540-9998,Owned,Post Office,Remotely Managed Post Office (RMPO),11/1/1998,700
TEXAS 3,OLTON,MAIN OFFICE,416 8TH ST,LAMB,OLTON,TX,79064-9805,Owned,Post Office,Main Post Office,7/1/1964,"3,240"
TEXAS 2,ORANGE,MAIN OFFICE,500 4TH ST,ORANGE,ORANGE,TX,77630-9998,Owned,Post Office,Main Post Office,6/1/1961,"17,779"
TEXAS 1,ORE CITY,MAIN OFFICE,203 US HIGHWAY 259 S,UPSHUR,ORE CITY,TX,75683-9998,Owned,Post Office,Main Post Office,9/1/1995,"2,784"
TEXAS 3,ORLA,MPO/MODULAR BLDG,3737 N HIGHWAY 285,REEVES,ORLA,TX,79770-9800,Owned,Post Office,Part Time Post Office (PTPO),2/1/1995,736
TEXAS 1,PALESTINE,MAIN OFFICE,1213 N LINK ST,ANDERSON,PALESTINE,TX,75803-9998,Owned,Post Office,Administrative Post Office (APO),10/1/1989,"35,148"
TEXAS 1,PALESTINE,MAIN OFFICE,1213 N LINK ST,ANDERSON,PALESTINE,TX,75803-9998,Owned,Post Office,Service Hub Facility (SHF),10/1/1989,"35,148"
TEXAS 3,PAMPA,MAIN OFFICE,120 E FOSTER AVE,GRAY,PAMPA,TX,79065-9998,Owned,Post Office,Administrative Post Office (APO),6/1/1934,"12,879"
TEXAS 3,PANDORA,MPO/MODULAR BLDG,8547 FM 1107,WILSON,PANDORA,TX,78143-9800,Owned,Post Office,Remotely Managed Post Office (RMPO),1/1/1996,736
TEXAS 1,PARIS,MPO,500 CLARKSVILLE ST,LAMAR,PARIS,TX,75460-9998,Owned,Post Office,Administrative Post Office (APO),12/1/2000,"21,228"
TEXAS 2,PASADENA,DELBERT L. ATKINSON S,6100 SPENCER HWY,HARRIS,PASADENA,TX,77505-9998,Owned,,,5/1/1976,"17,421"
TEXAS 2,PASADENA,MAIN OFFICE,1199 PASADENA BLVD,HARRIS,PASADENA,TX,77501-9998,Owned,Post Office,Main Post Office,8/1/1966,"45,000"
TEXAS 2,PEARLAND,MAIN OFFICE,3519 E WALNUT ST,BRAZORIA,PEARLAND,TX,77581-9998,Owned,Post Office,Main Post Office,2/1/1984,"14,132"
TEXAS 2,PEARLAND,SILVERLAKE STATION,2700 CULLEN BLVD,BRAZORIA,PEARLAND,TX,77584-9998,Owned,Post Office,Station,5/1/2006,"20,386"
TEXAS 3,PECOS,MAIN OFFICE,106 W 4TH ST,REEVES,PECOS,TX,79772-9998,Owned,Post Office,Administrative Post Office (APO),12/1/1936,"23,088"
TEXAS 3,PENDLETON,MO/MODULAR BLDG,9765 PENDLETON TROY RD,BELL,PENDLETON,TX,76564-9800,Owned,Post Office,Remotely Managed Post Office (RMPO),2/1/1996,736
TEXAS 1,PENNINGTON,MPO/MODULAR BLDG,6552 FM 2781,TRINITY,PENNINGTON,TX,75856-9998,Owned,Post Office,Remotely Managed Post Office (RMPO),5/1/1998,736
TEXAS 3,PETERSBURG,MAIN OFFICE,1501 E 1ST ST,HALE,PETERSBURG,TX,79250-9802,Owned,Post Office,Main Post Office,11/1/1962,"3,300"
TEXAS 3,PFLUGERVILLE,MAIN OFFICE,301 S HEATHERWILDE BLVD,TRAVIS,PFLUGERVILLE,TX,78660-9998,Owned,Post Office,Main Post Office,12/1/1998,"25,172"
TEXAS 2,PIERCE,MPO/MODULAR BLDG,18566 LOOP 526 HWY,WHARTON,PIERCE,TX,77467-0001,Owned,Post Office,Remotely Managed Post Office (RMPO),12/1/1994,736
TEXAS 3,PLAINVIEW,MAIN OFFICE,725 ASH ST,HALE,PLAINVIEW,TX,79072-7308,Owned,Post Office,Administrative Post Office (APO),6/1/1933,"20,712"
TEXAS 1,PLANO,COIT STATION,3400 COIT RD,COLLIN,PLANO,TX,75075-9998,Owned,Post Office,Station,8/1/1997,"42,627"
TEXAS 1,PLANO,DOWNTOWN STATION,1112 18TH ST,COLLIN,PLANO,TX,75074-9997,Owned,Post Office,Finance Station,5/1/1968,"8,558"
TEXAS 1,PLANO,MAIN OFFICE,1200 JUPITER RD,COLLIN,PLANO,TX,75074-9998,Owned,Post Office,Main Post Office,10/1/1988,"30,718"
TEXAS 1,PLANO,MAIN OFFICE,1200 JUPITER RD,COLLIN,PLANO,TX,75074-9998,Owned,Post Office,Finance Station - No Delivery,10/1/1988,"30,718"
TEXAS 1,PLANO,NORTHWEST STATION,3905 HEDGCOXE RD,COLLIN,PLANO,TX,75025-9998,Owned,Post Office,Station,3/1/2000,"27,079"
TEXAS 1,PLANO,WILDCAT STATION,2901 W PARKER RD,COLLIN,PLANO,TX,75023-9998,Owned,Post Office,Station,10/1/1985,"24,434"
TEXAS 1,Plano Southern Area,(NFRL DO NOT ENTER CALL),660 DATA DR STE 300,COLLIN,PLANO,TX,75075-9997,Owned,Administrative Office,Facilities Service Office (FSO),9/7/2018,"105,236"
TEXAS 1,Plano Southern Area,(NFRL DO NOT ENTER CALL),660 DATA DR STE 300,COLLIN,PLANO,TX,75075-9997,Owned,Administrative Office,Area Administrative Office (AVP),9/7/2018,"105,236"
TEXAS 1,Plano Southern Area,(NFRL DO NOT ENTER CALL),660 DATA DR STE 300,COLLIN,PLANO,TX,75075-9997,Owned,Administrative Office,Headquarters Related,9/7/2018,"105,236"
TEXAS 2,PLEDGER,MPO/MODULAR BLDG,9463 FM 1728 RD,MATAGORDA,PLEDGER,TX,77468-9802,Owned,Post Office,Remotely Managed Post Office (RMPO),1/1/1995,874
TEXAS 3,PLUM,MPO/MODULAR BLDG,240 PLUM CHURCH RD,FAYETTE,PLUM,TX,78952-9800,Owned,Post Office,Remotely Managed Post Office (RMPO),10/1/1997,736
TEXAS 3,PONTOTOC,MPO/MODULAR BLDG,17658 COLLEGE ST,MASON,PONTOTOC,TX,76869-9814,Owned,Post Office,Remotely Managed Post Office (RMPO),6/1/1997,736
TEXAS 2,PORT ARTHUR,MAIN OFFICE,345 LAKESHORE DR,JEFFERSON,PORT ARTHUR,TX,77640-9998,Owned,Post Office,Administrative Post Office (APO),5/1/1965,"21,731"
TEXAS 2,PORT ISABEL,SOUTH PADRE ISLAND BR,4701 PADRE BLVD,CAMERON,SOUTH PADRE ISLAND,TX,78597-9998,Owned,Post Office,Branch,9/1/1988,"10,393"
TEXAS 2,PORTER,MAIN OFFICE,23550 PARTNERS WAY,MONTGOMERY,PORTER,TX,77365-9998,Owned,Post Office,Main Post Office,10/1/1986,"12,592"
TEXAS 2,PORTLAND,MAIN OFFICE,120 LANG RD,SAN PATRICIO,PORTLAND,TX,78374-2626,Owned,Post Office,Administrative Post Office (APO),9/1/1983,"6,731"
TEXAS 2,PRAIRIE VIEW,MAIN OFFICE,21212 FM 1098 LOOP,WALLER,PRAIRIE VIEW,TX,77446-4100,Owned,Post Office,Main Post Office,4/1/1992,"6,490"
TEXAS 1,PROCTOR,MPO/MODULAR BLDG,1270 HIGHWAY 1476,COMANCHE,PROCTOR,TX,76468-9801,Owned,Post Office,Remotely Managed Post Office (RMPO),4/1/1997,736
TEXAS 1,PROSPER,MAIN OFFICE,941 N COLEMAN ST,COLLIN,PROSPER,TX,75078-2301,Owned,Post Office,Main Post Office,6/21/2021,0
TEXAS 1,PURDON,MPO/MODULAR BLDG,700 S BROWN ST,NAVARRO,PURDON,TX,76679-9998,Owned,Post Office,Remotely Managed Post Office (RMPO),4/1/1995,874
TEXAS 3,PURMELA,MPO/MODULAR BLDG,12250 W US HIGHWAY 84,CORYELL,PURMELA,TX,76566-9998,Owned,Post Office,Remotely Managed Post Office (RMPO),4/1/1995,874
TEXAS 3,QUANAH,MAIN OFFICE,219 W 3RD ST,HARDEMAN,QUANAH,TX,79252-9998,Owned,Post Office,Administrative Post Office (APO),6/1/1937,"8,250"
TEXAS 1,RANGER,MAIN OFFICE,202 N AUSTIN ST,EASTLAND,RANGER,TX,76470-9998,Owned,Post Office,Remotely Managed Post Office (RMPO),6/1/1938,"6,546"
TEXAS 3,RANKIN,MAIN OFFICE,819 S GRAND ST,UPTON,RANKIN,TX,79778-9998,Owned,Post Office,Main Post Office,5/1/1980,"1,400"
TEXAS 2,RAYMONDVILLE,MAIN OFFICE,705 E HIDALGO AVE,WILLACY,RAYMONDVILLE,TX,78580-9998,Owned,Post Office,Administrative Post Office (APO),4/1/1977,"6,711"
TEXAS 1,REAGAN,MPO/MODULAR BLDG,3700 FM 413,FALLS,REAGAN,TX,76680-9998,Owned,Post Office,Remotely Managed Post Office (RMPO),6/1/2007,930
TEXAS 1,RED OAK,MAIN OFFICE,104 E OVILLA RD,ELLIS,RED OAK,TX,75154-9998,Owned,Post Office,Main Post Office,11/1/1998,"9,595"
TEXAS 2,REFUGIO,MAIN OFFICE,507 OSAGE ST,REFUGIO,REFUGIO,TX,78377-9998,Owned,Post Office,Main Post Office,6/1/1988,"7,465"
TEXAS 1,REKLAW,MO/MODULAR BLDG,320 N MAIN ST,RUSK,REKLAW,TX,75784-9998,Owned,Post Office,Remotely Managed Post Office (RMPO),6/1/1998,"1,464"
TEXAS 1,RICHARDSON,HUFFHINES PARK STATIO,1206 APOLLO RD,DALLAS,RICHARDSON,TX,75081-9998,Owned,Post Office,Station,11/1/1992,"25,893"
TEXAS 1,RICHARDSON,MAIN OFFICE,433 BELLE GROVE DR,DALLAS,RICHARDSON,TX,75080-9998,Owned,Post Office,Main Post Office,1/1/1978,"29,726"
TEXAS 2,RICHMOND,MAIN OFFICE,5560 FM 1640 RD,FORT BEND,RICHMOND,TX,77469-9998,Owned,Post Office,Administrative Post Office (APO),8/1/1996,"17,878"
TEXAS 3,RIO FRIO,MPO/MODULAR BLDG,5615 RANCH ROAD 1120,REAL,RIO FRIO,TX,78879-9998,Owned,Post Office,Remotely Managed Post Office (RMPO),5/1/1996,"1,610"
TEXAS 1,ROANOKE,MAIN OFFICE,516 E BYRON NELSON BLVD,DENTON,ROANOKE,TX,76262-9998,Owned,Post Office,Main Post Office,11/1/1997,"11,783"
TEXAS 2,ROBSTOWN,MAIN OFFICE,313 E MAIN AVE,NUECES,ROBSTOWN,TX,78380-3302,Owned,Post Office,Administrative Post Office (APO),6/1/1939,"7,535"
TEXAS 3,ROCKDALE,MAIN OFFICE,234 ACKERMAN ST,MILAM,ROCKDALE,TX,76567-9998,Owned,Post Office,Administrative Post Office (APO),6/1/1939,"6,156"
TEXAS 2,ROCKPORT,MAIN OFFICE,1550 FM 2165,ARANSAS,ROCKPORT,TX,78382-9998,Owned,Post Office,Main Post Office,2/1/1984,"8,061"
TEXAS 1,ROCKWALL,MAIN OFFICE,609 S GOLIAD ST,ROCKWALL,ROCKWALL,TX,75087-9998,Owned,Post Office,Main Post Office,10/1/1987,"15,113"
TEXAS 3,ROPESVILLE,MAIN OFFICE,403 TIMMONS AVE,HOCKLEY,ROPESVILLE,TX,79358-9802,Owned,Post Office,Remotely Managed Post Office (RMPO),10/1/1963,"1,200"
TEXAS 2,ROSENBERG,MAIN OFFICE,2103 AVENUE G,FORT BEND,ROSENBERG,TX,77471-9998,Owned,Post Office,Administrative Post Office (APO),6/1/1939,"12,162"
TEXAS 2,ROSHARON,MAIN OFFICE,1810 E FM 1462 RD,BRAZORIA,ROSHARON,TX,77583-9998,Owned,Post Office,Main Post Office,9/1/1987,"7,003"
TEXAS 1,ROSS,MO/MODULAR BLDG,1441 ROSS RD,MCLENNAN,ROSS,TX,76684-9800,Owned,Post Office,Remotely Managed Post Office (RMPO),12/1/1996,736
TEXAS 1,ROSSTON,MPO/MODULAR BLDG,119 CHURCH ST,COOKE,ROSSTON,TX,76263-9998,Owned,,,11/1/1994,736
TEXAS 3,ROUND ROCK,FRONTIER STATION,2250 DOUBLE CREEK DR,WILLIAMSON,ROUND ROCK,TX,78664-9998,Owned,Post Office,Main Post Office,3/1/1999,"26,497"
TEXAS 3,ROUND ROCK,MAIN OFFICE,797 SAM BASS RD,WILLIAMSON,ROUND ROCK,TX,78681-9998,Owned,Post Office,Station,10/1/1983,"12,345"
TEXAS 1,ROWLETT,MAIN OFFICE,3416 ENTERPRISE DR,DALLAS,ROWLETT,TX,75088-9998,Owned,Post Office,Main Post Office,7/1/1982,"16,222"
TEXAS 1,RUSK,MAIN OFFICE,112 W 5TH ST,CHEROKEE,RUSK,TX,75785-9998,Owned,Post Office,Administrative Post Office (APO),6/1/1938,"6,720"
TEXAS 3,SAN ANGELO,MAIN OFFICE,1 N ABE ST,TOM GREEN,SAN ANGELO,TX,76902-9998,Owned,Post Office,Administrative Post Office (APO),8/1/1979,"38,125"
TEXAS 3,SAN ANGELO,SOUTHWEST STATION,3201 LOOP 306,TOM GREEN,SAN ANGELO,TX,76904-9998,Owned,Post Office,Station,8/1/1986,"16,205"
TEXAS 3,SAN ANGELO,VMF,1 N ABE ST,TOM GREEN,SAN ANGELO,TX,76902-9700,Owned,Vehicle Maintenance,Vehicle Maintenance Facility (VMF),9/1/1981,"4,855"
TEXAS 3,San Antonio,Alamo Hgts. Finance Unit,1107 Austin Highway,BEXAR,San Antonio,TX,78209-9998,Owned,Post Office,Finance Branch,7/11/2020,"5,655"
TEXAS 3,SAN ANTONIO,AIRPORT STATION (AMF),10250 JOHN SAUNDERS RD,BEXAR,SAN ANTONIO,TX,78216-9998,Owned,Post Office,Station,7/1/1988,"23,418"
TEXAS 3,SAN ANTONIO,ALAMO HEIGHTS CAX/SERNA,1948 AUSTIN HWY,BEXAR,SAN ANTONIO,TX,78218-2501,Owned,Post Office,Station,7/10/2020,"40,156"
TEXAS 3,SAN ANTONIO,ARSENAL STATION,1140 S LAREDO ST,BEXAR,SAN ANTONIO,TX,78204-9998,Owned,Post Office,Station,5/1/1988,"19,662"
TEXAS 3,SAN ANTONIO,BEACON HILL STA,1064 VANCE JACKSON,BEXAR,SAN ANTONIO,TX,78201-9998,Owned,Post Office,Station,1/1/1976,"14,071"
TEXAS 3,SAN ANTONIO,CEDAR ELM STATION,5837 DE ZAVALA RD,BEXAR,SAN ANTONIO,TX,78249-9998,Owned,Post Office,Station,12/1/1985,"23,383"
TEXAS 3,SAN ANTONIO,DISTRICT ADMIN BLDG,1 POST OFFICE DR,BEXAR,SAN ANTONIO,TX,78284-9997,Owned,Administrative Office,Consumer Affairs Office,6/1/1997,"34,777"
TEXAS 3,SAN ANTONIO,DISTRICT ADMIN BLDG,1 POST OFFICE DR,BEXAR,SAN ANTONIO,TX,78284-9997,Owned,Administrative Office,District Administrative Office (DM),6/1/1997,"34,777"
TEXAS 3,SAN ANTONIO,ENCINO PARK STATION,20403 ENCINO LEDGE,BEXAR,SAN ANTONIO,TX,78259-9998,Owned,Post Office,Station,10/11/2006,"25,172"
TEXAS 3,SAN ANTONIO,FRANK M TEJEDA STATION,7411 BARLITE BLVD,BEXAR,SAN ANTONIO,TX,78224-9998,Owned,Post Office,Station,5/1/1997,"33,122"
TEXAS 3,SAN ANTONIO,HERITAGE STATION,702 RICHLAND HILLS DR,BEXAR,SAN ANTONIO,TX,78245-9998,Owned,Post Office,Station,10/1/1991,"30,128"
TEXAS 3,SAN ANTONIO,J FRANK DOBIE STA,4950 E HOUSTON ST,BEXAR,SAN ANTONIO,TX,78220-9998,Owned,Post Office,Station,6/1/1986,"15,555"
TEXAS 3,SAN ANTONIO,LAUREL HEIGHTS STA,2400 MCCULLOUGH AVE,BEXAR,SAN ANTONIO,TX,78212-9998,Owned,Post Office,Station,1/1/1977,"12,915"
TEXAS 3,SAN ANTONIO,LEON VALLEY STATION,6825 HUEBNER RD,BEXAR,SAN ANTONIO,TX,78238-9998,Owned,Post Office,Branch,8/1/1985,"14,103"
TEXAS 3,SAN ANTONIO,LOCKHILL STATION,12951 HUEBNER RD,BEXAR,SAN ANTONIO,TX,78230-9998,Owned,Post Office,Station,11/1/1990,"24,711"
TEXAS 3,SAN ANTONIO,NIMITZ CARRIER ANNEX,10330 DESERT SANDS ST,BEXAR,SAN ANTONIO,TX,78216-9998,Owned,Post Office,Carrier Annex (ANX),11/1/1969,"7,297"
TEXAS 3,SAN ANTONIO,NORTH BROADWAY STATIO,9211 BROADWAY,BEXAR,SAN ANTONIO,TX,78217-9998,Owned,Post Office,Station,10/1/1974,"9,652"
TEXAS 3,SAN ANTONIO,P&DC,10410 PERRIN BEITEL RD,BEXAR,SAN ANTONIO,TX,78284-9991,Owned,Post Office,Finance Station,2/1/1979,"311,943"
TEXAS 3,SAN ANTONIO,P&DC,10410 PERRIN BEITEL RD,BEXAR,SAN ANTONIO,TX,78284-9991,Owned,Post Office,Main Post Office,2/1/1979,"311,943"
TEXAS 3,SAN ANTONIO,P&DC,10410 PERRIN BEITEL RD,BEXAR,SAN ANTONIO,TX,78284-9991,Owned,Mail Processing,Processing and Distribution Center/Facility (PDC/PDF),2/1/1979,"311,943"
TEXAS 3,SAN ANTONIO,P&DC,10410 PERRIN BEITEL RD,BEXAR,SAN ANTONIO,TX,78284-9991,Owned,Network Facilities,Logistics (LOG),2/1/1979,"311,943"
TEXAS 3,SAN ANTONIO,P&DC,10410 PERRIN BEITEL RD,BEXAR,SAN ANTONIO,TX,78284-9991,Owned,Network Facilities,Logistics (LOG),2/1/1979,"311,943"
TEXAS 3,SAN ANTONIO,S TEXAS MED CEN STA,4835 MEDICAL DR,BEXAR,SAN ANTONIO,TX,78229-9998,Owned,Post Office,Station,10/1/1974,"10,834"
TEXAS 3,SAN ANTONIO,SPBS Annex,10410 PERRIN BEITEL RD,BEXAR,SAN ANTONIO,TX,78284-9998,Owned,Mail Processing,Mail Processing Annex (ANX),5/1/1986,"60,000"
TEXAS 3,SAN ANTONIO,THOUSAND OAKS STATION,15610 HENDERSON PASS,BEXAR,SAN ANTONIO,TX,78232-9998,Owned,Post Office,Station,4/1/1986,"22,992"
TEXAS 3,SAN ANTONIO,VMF,10410 PERRIN BEITEL RD,BEXAR,SAN ANTONIO,TX,78284-9304,Owned,Vehicle Maintenance,Vehicle Maintenance Facility (VMF),2/1/1979,"21,595"
